benchmark,input_size,case,ops_per_sec
all,10,Strymonas,3887501.191452
all,10,Pull_cursor,1435348.425181
all,10,Pull_cursor_k,715267.793130
all,10,Pull_cursor_safe,707760.243143
all,10,Pull_exn,945203.091108
all,10,Pull_option,922511.794255
all,10,Pull_stream_fusion,885945.206747
all,10,Pull_thunk_list,819223.742158
all,10,Pull_bool,1757356.665387
all,10,Push_fold_ref,3621203.065427
all,10,Push_fold_stop,1709496.180618
all,10,Push_reducer_bool,1365931.675406
all,10,Push_reducer_stop,1091289.132672
all,10,Push_unit,1647701.478208
all,100,Strymonas,366564.834834
all,100,Pull_cursor,137483.775243
all,100,Pull_cursor_k,67457.254310
all,100,Pull_cursor_safe,65123.844180
all,100,Pull_exn,88567.133411
all,100,Pull_option,89342.063327
all,100,Pull_stream_fusion,82171.911907
all,100,Pull_thunk_list,82097.293103
all,100,Pull_bool,166359.396645
all,100,Push_fold_ref,342993.579635
all,100,Push_fold_stop,173765.603197
all,100,Push_reducer_bool,142875.336003
all,100,Push_reducer_stop,119562.400780
all,100,Push_unit,160286.421781
all,1000,Strymonas,36036.230146
all,1000,Pull_cursor,13362.251994
all,1000,Pull_cursor_k,7280.251262
all,1000,Pull_cursor_safe,7914.268306
all,1000,Pull_exn,8957.890869
all,1000,Pull_option,8918.856377
all,1000,Pull_stream_fusion,8232.969369
all,1000,Pull_thunk_list,8717.388457
all,1000,Pull_bool,16835.175677
all,1000,Push_fold_ref,35128.596959
all,1000,Push_fold_stop,17949.350007
all,1000,Push_reducer_bool,13899.193658
all,1000,Push_reducer_stop,11427.488271
all,1000,Push_unit,15518.361171
all,10000,Strymonas,3641.253085
all,10000,Pull_cursor,1340.452544
all,10000,Pull_cursor_k,702.085622
all,10000,Pull_cursor_safe,767.512664
all,10000,Pull_exn,885.616731
all,10000,Pull_option,862.366708
all,10000,Pull_stream_fusion,836.669636
all,10000,Pull_thunk_list,788.948566
all,10000,Pull_bool,1580.288838
all,10000,Push_fold_ref,3457.669639
all,10000,Push_fold_stop,1589.068190
all,10000,Push_reducer_bool,1336.908429
all,10000,Push_reducer_stop,1140.504595
all,10000,Push_unit,1340.805950
all,100000,Strymonas,351.771650
all,100000,Pull_cursor,124.299819
all,100000,Pull_cursor_k,68.868317
all,100000,Pull_cursor_safe,74.603088
all,100000,Pull_exn,86.911580
all,100000,Pull_option,85.125214
all,100000,Pull_stream_fusion,75.606818
all,100000,Pull_thunk_list,76.540241
all,100000,Pull_bool,154.276156
all,100000,Push_fold_ref,347.967444
all,100000,Push_fold_stop,164.756514
all,100000,Push_reducer_bool,143.317461
all,100000,Push_reducer_stop,110.786059
all,100000,Push_unit,143.245378
all,1000000,Strymonas,35.128070
all,1000000,Pull_cursor,12.007442
all,1000000,Pull_cursor_k,6.329458
all,1000000,Pull_cursor_safe,7.474298
all,1000000,Pull_exn,8.605492
all,1000000,Pull_option,8.534031
all,1000000,Pull_stream_fusion,8.427287
all,1000000,Pull_thunk_list,8.681005
all,1000000,Pull_bool,16.249625
all,1000000,Push_fold_ref,34.354646
all,1000000,Push_fold_stop,17.879851
all,1000000,Push_reducer_bool,14.559473
all,1000000,Push_reducer_stop,11.819504
all,1000000,Push_unit,15.311518
