benchmark,input_size,case,ops_per_sec
all,10,Strymonas,4662991.379015
all,10,Pull_cursor,1695761.431701
all,10,Pull_cursor_k,847900.378165
all,10,Pull_cursor_safe,972838.322823
all,10,Pull_exn,1277558.254033
all,10,Pull_option,1305159.497629
all,10,Pull_stream_fusion,1080418.017123
all,10,Pull_thunk_list,1014705.567908
all,10,Pull_bool,2114869.411790
all,10,Push_fold_ref,4669894.004608
all,10,Push_fold_stop,2143979.401835
all,10,Push_reducer_bool,1814886.427579
all,10,Push_reducer_stop,1666840.068000
all,10,Push_unit,2074764.935855
all,100,Strymonas,432675.531012
all,100,Pull_cursor,159685.169457
all,100,Pull_cursor_k,78360.182713
all,100,Pull_cursor_safe,90703.535690
all,100,Pull_exn,118486.979975
all,100,Pull_option,123226.977368
all,100,Pull_stream_fusion,102230.318378
all,100,Pull_thunk_list,95561.721564
all,100,Pull_bool,196886.194150
all,100,Push_fold_ref,437274.227893
all,100,Push_fold_stop,204820.900268
all,100,Push_reducer_bool,174995.042507
all,100,Push_reducer_stop,161337.228642
all,100,Push_unit,194670.785354
all,1000,Strymonas,42815.629583
all,1000,Pull_cursor,15810.334789
all,1000,Pull_cursor_k,7782.913175
all,1000,Pull_cursor_safe,9056.513344
all,1000,Pull_exn,11863.525162
all,1000,Pull_option,12297.318849
all,1000,Pull_stream_fusion,10278.408458
all,1000,Pull_thunk_list,9582.685577
all,1000,Pull_bool,19556.241209
all,1000,Push_fold_ref,43407.972892
all,1000,Push_fold_stop,20347.512077
all,1000,Push_reducer_bool,17285.057050
all,1000,Push_reducer_stop,16080.470239
all,1000,Push_unit,19508.489550
all,10000,Strymonas,4298.863901
all,10000,Pull_cursor,1586.743397
all,10000,Pull_cursor_k,781.702880
all,10000,Pull_cursor_safe,906.480287
all,10000,Pull_exn,1172.519794
all,10000,Pull_option,1215.801608
all,10000,Pull_stream_fusion,1028.280898
all,10000,Pull_thunk_list,961.793790
all,10000,Pull_bool,1884.530214
all,10000,Push_fold_ref,4357.821045
all,10000,Push_fold_stop,2032.058699
all,10000,Push_reducer_bool,1734.042338
all,10000,Push_reducer_stop,1602.923895
all,10000,Push_unit,1870.584776
all,100000,Strymonas,429.621428
all,100000,Pull_cursor,158.596736
all,100000,Pull_cursor_k,77.984401
all,100000,Pull_cursor_safe,90.692795
all,100000,Pull_exn,116.888888
all,100000,Pull_option,121.221454
all,100000,Pull_stream_fusion,103.110730
all,100000,Pull_thunk_list,96.041828
all,100000,Pull_bool,186.403234
all,100000,Push_fold_ref,435.572936
all,100000,Push_fold_stop,203.904550
all,100000,Push_reducer_bool,173.693969
all,100000,Push_reducer_stop,161.151288
all,100000,Push_unit,185.242771
all,1000000,Strymonas,42.981886
all,1000000,Pull_cursor,15.945927
all,1000000,Pull_cursor_k,7.837723
all,1000000,Pull_cursor_safe,9.108191
all,1000000,Pull_exn,11.717465
all,1000000,Pull_option,12.156798
all,1000000,Pull_stream_fusion,10.329521
all,1000000,Pull_thunk_list,9.593575
all,1000000,Pull_bool,18.613661
all,1000000,Push_fold_ref,43.544610
all,1000000,Push_fold_stop,20.399848
all,1000000,Push_reducer_bool,17.392884
all,1000000,Push_reducer_stop,16.117745
all,1000000,Push_unit,18.492315
